scenario_id,pool_n,n_feasible_pool,frontier_pool,violation,dominance,rent_gap,commute_gap
S068,120,40,32,0.6659999999999999,0.2133333333333333,168.55142857142857,19.758507971935224
S069,120,40,16,0.6779999999999999,0.6401340996168583,-434.2557471264368,16.85772127539619
S070,120,40,14,0.654,0.6538095238095237,-303.87714285714287,9.548698537089845
S071,120,40,6,0.685,0.8363453815261043,-153.539156626506,11.88970392878252
S072,120,40,22,0.664,0.4579961464354528,827.5057803468208,-6.389458872750491
S073,120,40,14,0.66,0.6459737827715356,1440.4044943820224,-1.703336668194952
S074,120,40,16,0.6719999999999999,0.5914285714285714,-514.24,20.97029370550665
S075,120,40,25,0.659,0.3781135531135531,-402.19505494505495,12.114737765044453
S076,120,40,7,0.6719999999999999,0.824698795180723,923.9578313253012,-0.4520597186845099
S077,120,40,21,0.687,0.4213725490196078,1135.1852941176471,-10.482516726224304
S078,120,40,7,0.6759999999999999,0.8053921568627452,130.69117647058823,7.757544576465281
S079,120,40,6,0.674,0.871124031007752,-42.52906976744186,18.26263650397953
S080,120,40,17,0.648,0.5734234234234235,-297.37567567567567,16.011010206367715
S081,120,40,8,0.6559999999999999,0.8142458100558659,861.3240223463687,10.806395799644909
S082,120,40,29,0.624,0.3074175824175824,899.3296703296703,-4.119353370210513
S083,120,40,21,0.6629999999999999,0.4590163934426229,1573.325136612022,-6.158465092935503
S084,120,40,30,0.6679999999999999,0.2377289377289377,-437.5219780219781,14.62110688551219
S085,120,40,11,0.648,0.6913333333333334,-935.0457142857144,14.83951476490389
S086,120,40,11,0.6779999999999999,0.7040515653775322,1489.0082872928176,8.178076775576338
S087,120,40,20,0.667,0.4986742424242423,-702.3892045454545,11.895000812811464
S088,120,40,15,0.674,0.6716374269005848,1865.888888888889,-0.5840017945645626
S089,120,40,15,0.653,0.6741666666666666,2081.277777777778,-3.26289537017734
S090,120,40,18,0.6609999999999999,0.5610795454545454,-270.28409090909093,26.79670018867023
S091,120,40,13,0.6769999999999999,0.6711500974658869,-149.6345029239766,16.25512471506493
S092,120,40,21,0.6719999999999999,0.5339924670433146,-1316.3870056497176,11.000387981872509
S093,120,40,13,0.654,0.7073863636363636,837.8636363636364,2.2077953962733123
S094,120,40,15,0.6469999999999999,0.6657458563535913,-147.75690607734808,11.710426096879218
S095,120,40,8,0.674,0.7741347905282331,894.7021857923497,6.225437576644184
S096,120,40,7,0.6779999999999999,0.8047752808988764,1075.2247191011236,5.705196418603017
S097,120,40,31,0.66,0.1648148148148148,-73.27222222222223,18.853243784262087
S098,120,40,23,0.6729999999999999,0.4070175438596491,-145.89766081871346,19.60249485315664
S099,120,40,26,0.6669999999999999,0.3388888888888889,1224.375,-3.044981059421969
S100,120,40,23,0.6509999999999999,0.4744318181818182,41.05113636363637,15.01757339842315
S101,120,40,23,0.6729999999999999,0.378391472868217,-182.81976744186048,20.76891149470423
S102,120,40,26,0.69,0.3226120857699805,-237.45906432748535,24.301349294795457
S103,120,40,29,0.6719999999999999,0.239766081871345,1420.7134502923975,-6.037386896137463
S104,120,40,30,0.669,0.3012896825396825,-532.389880952381,17.789125470824327
S105,120,40,29,0.6669999999999999,0.228927203065134,-101.27011494252874,15.135510753865146
S106,120,40,18,0.6459999999999999,0.5145131086142322,1007.8370786516854,-4.182087328597962
S107,120,40,23,0.6579999999999999,0.4317919075144508,146.6387283236994,15.826301794042635
S108,120,40,18,0.6579999999999998,0.5454980842911877,-275.85919540229884,26.1325375679656
S109,120,40,10,0.675,0.7707584830339321,-643.122754491018,9.28038393023437
S110,120,40,13,0.6539999999999999,0.6579189686924494,-322.27624309392263,10.473852771247886
S111,120,40,11,0.633,0.7132958801498127,-50.87640449438202,11.421632461779756
S112,120,40,9,0.716,0.7987577639751553,-172.57453416149067,8.443270254124153
S113,120,40,8,0.648,0.8069288389513108,68.73595505617978,16.693081068978817
S114,120,40,11,0.6859999999999999,0.7855805243445692,-68.6685393258427,11.238603522971603
S115,120,40,17,0.6629999999999999,0.5336190476190475,986.7371428571428,-8.275701093254604
S116,120,40,17,0.695,0.5431547619047619,1883.517857142857,1.5583941368919612
S117,120,40,6,0.6679999999999999,0.8323970037453183,432.7387640449438,5.374247126025893
S118,120,40,5,0.6849999999999998,0.8954802259887006,-225.0536723163842,3.643760816421609
S119,120,40,20,0.689,0.5025406504065041,-1001.1737804878048,12.21528561655362
S120,120,40,20,0.67,0.5023668639053254,23.263313609467456,13.345241436137306
S121,120,40,10,0.6439999999999999,0.7404371584699454,-546.983606557377,9.021970903907508
S122,120,40,11,0.655,0.7279329608938546,-126.8072625698324,11.297473122214797
S123,120,40,32,0.664,0.1965355805243445,1669.9044943820224,-6.0449591700280365
S124,120,40,16,0.6519999999999999,0.5868421052631579,-332.046783625731,13.40670662313407
S125,120,40,23,0.653,0.391713747645951,59.771186440677965,16.87735728348419
S126,120,40,11,0.675,0.7295238095238095,10.117142857142856,10.98797778772632
S127,120,40,18,0.664,0.5494505494505495,883.6868131868132,-0.3870464077837379
S128,120,40,12,0.6619999999999999,0.6577715355805244,-362.4016853932585,16.104329923991443
S129,120,40,27,0.6689999999999999,0.3076550387596898,-381.3691860465116,18.181655112821257
S130,120,40,23,0.67,0.442829457364341,-77.30232558139535,23.20707904571154
S131,120,40,30,0.67,0.2203389830508474,1310.7175141242938,-20.885025704476945
S132,120,40,32,0.6759999999999999,0.1869186046511627,286.23546511627904,18.04806114356254
S133,120,40,28,0.6460000000000001,0.290392156862745,-1519.8735294117646,20.649863157697823
S134,120,40,7,0.6990000000000001,0.8518518518518519,114.9320987654321,19.22899624466827
S135,120,40,11,0.6680000000000001,0.7351637764932563,2050.7687861271675,10.830236295054968
S136,120,40,6,0.649,0.8236111111111111,1124.85,-0.0575794098252958
S137,120,40,27,0.6689999999999999,0.3598265895953757,440.84393063583815,16.516761971082754
S138,120,40,15,0.6809999999999999,0.637099811676083,108.75706214689264,13.860936404764104
S139,120,40,13,0.6539999999999999,0.7087962962962964,781.1166666666667,-8.152450911140333
S140,120,40,8,0.6819999999999999,0.8005917159763314,2.831360946745562,19.748593426285105
S141,120,40,26,0.67,0.365340909090909,-195.3153409090909,22.667018348981014
S142,120,40,17,0.6730000000000002,0.6059659090909091,-491.2698863636364,15.455207980568728
S143,120,40,34,0.6489999999999999,0.1462862318840579,-480.95108695652175,15.342346314906033
S144,120,40,23,0.6719999999999999,0.463047619047619,74.32285714285715,17.737605952275906
S145,120,40,28,0.6359999999999999,0.3082872928176795,1806.488950276243,-13.93209700050403
S146,120,40,17,0.6729999999999998,0.5833333333333334,-270.6169590643275,24.098264614760915
S147,120,40,31,0.645,0.2290502793296089,1391.0865921787708,-8.02664455660508
S148,120,40,17,0.677,0.5685404339250493,317.20414201183434,8.648536778761697
S149,120,40,11,0.6809999999999999,0.7230250481695568,-135.10115606936415,21.79471742540377
