id,GEOID,borough,commute_midtown_manhattan,commute_downtown_manhattan,commute_downtown_brooklyn
"25-W-68th-St,-Unit-E,-New-York,-NY-10023",36061015301,Manhattan,17.74857617944262,34.065242846109285,37.031909512775954
"80-N-Moore-St,-Unit-L,-New-York,-NY-10013",36061003900,Manhattan,24.524183514590952,16.84085018125762,21.807516847924283
"435-E-79th-St,-Unit-10,-New-York,-NY-10075",36061013603,Manhattan,26.745088900289826,38.7334746669509,44.70014133361757
"400-E-71st-St,-Unit-23,-New-York,-NY-10021",36061012400,Manhattan,19.847891385526964,34.53577227128056,40.502438937947225
"20-Fifth-8e-Ave,-Unit-Ev,-New-York,-NY-10011",36061006300,Manhattan,17.19890361726174,20.015570283928408,26.482236950595077
"222-E-39th-St,-Unit-13DD,-New-York,-NY-10016",36061007800,Manhattan,15.076841823422887,23.84783697704916,30.31450364371583
"140-E-46th-7r-St,-Unit-Ev,-New-York,-NY-10027",36061009200,Manhattan,13.839475621525464,21.93607017149814,28.40273683816481
"405-E-56th-St,-Unit-D9,-New-York,-NY-10022",36061010601,Manhattan,18.501447338805217,32.318114005471884,38.28478067213855
"33-Greenwich-Ave,-Unit-7,-New-York,-NY-10014",36061007100,Manhattan,16.048486561546138,18.865153228212804,24.557101739209465
"71-W-12th-4h-St,-Unit-Ev,-New-York,-NY-10011",36061006300,Manhattan,13.734216937865224,20.303180455680145,24.70925796841256
"888-Eighth-Ave-Unit-W,-New-York,-NY-10019",36061013100,Manhattan,13.457404635554404,28.30874838129586,32.740737968887736
"20-Fifth-Ave,-Unit-16FEV,-New-York,-NY-10011",36061006300,Manhattan,17.19890361726174,20.015570283928408,26.482236950595077
"151-E-71st-St,-Unit-3D,-New-York,-NY-10021",36061012800,Manhattan,20.66280765682516,27.47023146860068,33.43689813526735
"117-W-13th-St,-Unit-5C,-New-York,-NY-10011",36061007100,Manhattan,12.756535480801013,19.661420067481853,22.31543745588969
"121-Madison-Ave-Ph-C,-New-York,-NY-10016",36061007400,Manhattan,14.507644761081158,21.44186232090956,27.90852898757623
"1427-York-Ave,-Unit-2,-New-York,-NY-10021",36061013201,Manhattan,23.54425939753101,38.360926064197685,44.838882946422565
"37-Cornelia-St,-Unit-3A,-New-York,-NY-10014",36061006700,Manhattan,15.17437731473834,17.991043981405006,24.138263628241308
"307-Mott-2a-St,-Unit-Ev,-New-York,-NY-10012",36061005502,Manhattan,16.72078315607611,16.23616234628979,21.004116489409444
"145-Fourth-Ave,-Ph-H1,-New-York,-NY-10003",36061004200,Manhattan,16.623876528293593,13.357209861626927,19.823876528293592
"333-E-49th-St,-Unit-T0,-New-York,-NY-10017",36061009800,Manhattan,16.278705043512257,28.452481178756088,34.41914784542276
"50-Murray-St,-Unit-15I,-New-York,-NY-10007",36061002100,Manhattan,20.00995178592927,9.458976924604087,14.386911576137894
"25-W-68th-1e-St,-Unit-Ev,-New-York,-NY-10023",36061015301,Manhattan,17.74857617944262,34.065242846109285,37.031909512775954
"28-King-St,-Unit-L,-New-York,-NY-10014",36061003700,Manhattan,18.727150242042523,16.04381690870919,21.010483575375854
"160-W-73rd-St,-Unit-C,-New-York,-NY-10023",36061015700,Manhattan,16.501456520898206,28.818123187564872,30.784789854231537
"236-E-36th-St,-Ph-A,-New-York,-NY-10016",36061007800,Manhattan,18.511849415467704,27.059152081462184,33.52581874812885
"20-Fifth-Ave-Unit-E,-New-York,-NY-10011",36061006300,Manhattan,17.19890361726174,20.015570283928408,26.482236950595077
"435-E-79th-St,-Ph-M,-New-York,-NY-10075",36061013603,Manhattan,26.74223837138504,38.72903942782551,44.695706094492174
"19-S-William-St,-Apt-4,-New-York,-NY-10004",36061000900,Manhattan,26.709377745811988,6.736714874277435,11.651399979926165
"50-Murray-St,-Unit-1307A,-New-York,-NY-10007",36061002100,Manhattan,19.57587805451264,10.00672869597971,15.075914627217138
"30-5th-Ave,-Apt-7C,-New-York,-NY-10011",36061006300,Manhattan,17.886789188562155,20.37388922184248,26.840555888509144
"888-Eighth-Ave-Unit-M,-New-York,-NY-10019",36061013100,Manhattan,13.457404635554404,28.30874838129586,32.740737968887736
"1427-York-Ave,-Unit-4CC,-New-York,-NY-10021",36061013201,Manhattan,23.327351851292647,38.14401851795932,44.659262116099725
"310-E-23rd-St,-Apt-9E,-New-York,-NY-10010",36061006400,Manhattan,26.32738511603445,25.60383056329836,32.07049722996502
"333-E-49th-St,-Ph-C,-New-York,-NY-10017",36061009800,Manhattan,16.278705043512257,28.452481178756088,34.41914784542276
"400-E-71st-St,-Unit-D,-New-York,-NY-10021",36061012400,Manhattan,19.847891385526964,34.53577227128056,40.502438937947225
"160-W-73rd-1c-St,-Unit-Ev,-New-York,-NY-10023",36061015700,Manhattan,16.501456520898206,28.818123187564872,30.784789854231537
"145-Fourth-Ave-Unit-C,-New-York,-NY-10003",36061004200,Manhattan,16.74668457835277,13.4823175671406,19.948984233807263
"141-E-56th-St,-Ph-C,-New-York,-NY-10022",36061011203,Manhattan,14.212689025538952,25.174472072741025,31.64113873940769
"248-Mott-St,-Unit-Mn,-New-York,-NY-10012",36061004300,Manhattan,18.17718720483976,17.28658230809958,22.460520538173093
"111-Worth-St,-Ph-B,-New-York,-NY-10013",36061003100,Manhattan,23.433622467977788,10.29366333444762,16.760330001114287
"690-Fort-Washington-Ave,-Unit-66D,-New-York,-NY-10040",36061028100,Manhattan,37.42511416874057,49.24178083540723,55.2084475020739
"234-W-14th-St,-Unit-B,-New-York,-NY-10011",36061007700,Manhattan,15.368551750672417,19.60296565191084,22.151885084005748
"202-E-13th-St,-Unit-5,-New-York,-NY-10003",36061004002,Manhattan,19.471526785833035,17.07392358119868,23.540590247865342
"165-E-35th-St,-Unit-11,-New-York,-NY-10016",36061008000,Manhattan,17.828671061809573,24.777572842406688,31.244239509073356
"888-Eighth-Ave-Unit-P,-New-York,-NY-10019",36061013100,Manhattan,13.457404635554404,28.30874838129586,32.740737968887736
"235-W-22nd-5u-St,-Unit-Ev,-New-York,-NY-10011",36061009100,Manhattan,13.193667470646393,21.51033413731306,26.477000803979724
"310-Greenwich-St,-Unit-12,-New-York,-NY-10013",36061003900,Manhattan,22.004345729270455,15.321012395937124,19.28767906260379
"323-W-96th-St,-Unit-305A,-New-York,-NY-10025",36061018300,Manhattan,22.928507986044377,34.24517465271104,36.21184131937771
"405-E-56th-St,-Unit-L,-New-York,-NY-10022",36061010601,Manhattan,18.368582297064865,32.18524896373153,38.1519156303982
"1-Jane-St,-Unit-D,-New-York,-NY-10014",36061007700,Manhattan,15.574847485991102,19.891514152657766,22.358180819324435
"1134-Madison-Ave-Unit-F,-New-York,-NY-10028",36061015001,Manhattan,27.81763266442756,32.634299331094226,38.600965997760895
"117-W-13th-St,-Unit-6D,-New-York,-NY-10011",36061007100,Manhattan,12.758729777931462,19.66410709494251,22.31293560120984
"39-E-65th-4b-St,-Unit-Ev,-New-York,-NY-10065",36061012200,Manhattan,18.279002881511698,29.310456970232774,35.460760480193905
"484-Second-Ave-Unit-C,-New-York,-NY-10016",36061006600,Manhattan,26.829964363262683,26.14663102992935,32.613297696596014
"117-Mulberry-St,-Unit-F,-New-York,-NY-10013",36061004100,Manhattan,20.415943179562493,12.32412267366834,20.26244112024928
"241-E-46th-St,-Unit-4DD,-New-York,-NY-10017",36061009000,Manhattan,16.666368651982285,25.398779438880773,31.86544610554744
"416-E-13th-St,-Unit-E,-New-York,-NY-10009",36061003400,Manhattan,20.30660363732024,19.623270303986907,25.08993697065357
"25-W-68th-8d-St,-Unit-Ev,-New-York,-NY-10023",36061015301,Manhattan,17.74857617944262,34.065242846109285,37.031909512775954
"964-Amsterdam-Ave,-Unit-6D256,-New-York,-NY-10025",36061019500,Manhattan,27.08768484160695,40.40435150827362,43.37101817494029
"259-Elizabeth-St,-Ph-C,-New-York,-NY-10012",36061004300,Manhattan,18.032265562402472,18.020072778370785,22.243632067211973
"270-W-25th-St,-Apt-4A,-New-York,-NY-10001",36061009100,Manhattan,15.219154557170528,21.323934830399534,28.547398684796203
"344-E-55th-St,-Unit-2BB,-New-York,-NY-10022",36061010801,Manhattan,15.51103107229596,29.327697738962623,35.29436440562929
"438-W-52nd-St,-Unit-C,-New-York,-NY-10019",36061013300,Manhattan,19.878691371351437,32.62274414884188,39.16202470468477
"222-E-39th-St,-Unit-6HH,-New-York,-NY-10016",36061007800,Manhattan,15.076841823422887,23.84783697704916,30.31450364371583
"140-E-46th-5f-St,-Unit-Ev,-New-York,-NY-10027",36061009200,Manhattan,13.839475621525464,21.93607017149814,28.40273683816481
"45-White-St,-Apt-3C,-New-York,-NY-10013",36061003300,Manhattan,22.70851689998474,15.101701084794984,20.06836775146165
"222-E-39th-St,-Unit-17AA,-New-York,-NY-10016",36061007800,Manhattan,15.076841823422887,23.84783697704916,30.31450364371583
