model,arch,cond,outcome,n_scenarios,mean_diff,ci_lo,ci_hi,p_raw,p_bh
gpt-5.6-luna,S3,C2_name_b,pct_black_nh,150,-0.0022881627293304153,-0.12804197521944,0.07459542636565497,0.7186,0.15225
gpt-5.6-luna,S1,C2_name_b,median_gross_rent,150,7.386666666666653,-418.7666666666668,466.48333333333403,0.733,0.15225
gpt-5.6-sol,S1,C3_voucher,pct_nonwhite,60,-0.001582684697156858,-0.09211434941828993,0.05155120122469921,0.7344,0.15225
gpt-5.6-luna,S2,C3_voucher,median_hh_income,150,386.51666666666665,-24129.849999999995,34309.81666666668,0.7354,0.15225
gpt-5.6-luna,S2,C2_name_b,pct_black_nh,150,-0.0013147001155719108,-0.0795054756384967,0.026751345833235463,0.7358,0.15225
gpt-5.6-luna,S3,C2_name_b,median_rent_pct_income,150,-0.02866666666666646,-2.152499999999999,2.666666666666665,0.7391,0.15225
gpt-5.6-luna,S3,C3_voucher,median_hh_income,150,417.88666666666734,-24460.46666666667,26428.86666666668,0.7542,0.15225
gpt-5.6-luna,S3,C1_name_a,renter_share,150,-0.000920012502788535,-0.08732229920162139,0.07864699087700412,0.7598,0.15225
gpt-5.6-sol,S1,C1_name_a,pct_hispanic,60,-0.0008368512582529758,-0.032910318963945265,0.040253226153457555,0.7666,0.15225
gpt-5.6-luna,S1,C2_name_b,median_hh_income,150,-399.7122222222226,-34290.00000000001,35012.425,0.7696,0.15225
gpt-5.6-luna,S3,C3_voucher,renter_share,150,-0.001302789367289361,-0.11390959235967191,0.10921139504736813,0.7753,0.15225
gpt-5.6-luna,S3,C3_voucher,median_gross_rent,150,6.531111111111116,-782.3499999999999,640.3125000000014,0.7964,0.15225
claude-opus-5,S1,C1_name_a,pct_black_nh,60,-0.001233506823979208,-0.01798964344908588,0.019592880262384867,0.7996,0.15225
gpt-5.6-sol,S1,C1_name_a,pct_nonwhite,60,-0.0010185382882036437,-0.05871353107795928,0.04590424186816832,0.8085,0.15225
gpt-5.6-sol,S1,C3_voucher,pct_black_nh,60,-0.000844272315563085,-0.04595717790052263,0.026192490199550937,0.834,0.15225
gpt-5.6-sol,S1,C2_name_b,pct_black_nh,60,-0.00040938986300548404,-0.017430130167503742,0.023448704191679305,0.8344,0.15225
gpt-5.6-luna,S2,C3_voucher,pct_black_nh,150,-0.0005253390697419826,-0.053806922863842525,0.03547554321830737,0.8401,0.15225
claude-opus-5,S1,C2_name_b,pct_black_nh,60,-0.0008595703232529545,-0.015967096577461322,0.03042321597507474,0.8424,0.15225
