scenario_id,cond,model,arch,rep,median_hh_income,median_gross_rent,median_rent_pct_income,renter_share,pct_nonwhite,pct_black_nh,pct_hispanic
S002,C1_name_a,gpt-5.6-luna,S2,2,81192.0,1751.0,27.1,0.8769294952023362,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C0_neutral,gpt-5.6-luna,S2,1,81192.0,1751.0,27.1,0.7220917822838847,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C0_neutral,gpt-5.6-luna,S2,2,81192.0,1751.0,27.1,0.8769294952023362,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C2_name_b,gpt-5.6-luna,S2,1,81192.0,1751.0,27.1,0.7750352609308886,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C0_neutral,gpt-5.6-luna,S3,1,81192.0,1873.0,27.1,0.8769294952023362,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C0_neutral,gpt-5.6-luna,S3,2,81192.0,1873.0,27.1,0.8769294952023362,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C1_name_a,gpt-5.6-luna,S3,1,81192.0,1751.0,27.1,0.8769294952023362,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C3_voucher,gpt-5.6-luna,S2,2,81192.0,1751.0,27.1,0.7750352609308886,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C3_voucher,gpt-5.6-luna,S2,1,81192.0,1751.0,27.1,0.8769294952023362,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C3_voucher,gpt-5.6-luna,S3,1,81192.0,1751.0,27.1,0.8769294952023362,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C2_name_b,gpt-5.6-luna,S2,2,81192.0,1751.0,27.1,0.7750352609308886,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C2_name_b,gpt-5.6-luna,S3,2,81192.0,1751.0,27.1,0.8769294952023362,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C2_name_b,gpt-5.6-luna,S3,1,81192.0,1751.0,27.1,0.8769294952023362,0.9074470934904902,0.005568445475638,0.4491025984462898
S002,C1_name_a,gpt-5.6-luna,S3,2,81192.0,1751.0,27.1,0.8769294952023362,0.9074470934904902,0.005568445475638,0.4491025984462898
S003,C0_neutral,gpt-5.6-luna,S1,2,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C1_name_a,gpt-5.6-luna,S1,2,78526.0,1757.0,31.5,0.909070990359334,0.8182268449727588,0.0386089813800657,0.1502772893277424
S003,C0_neutral,gpt-5.6-luna,S1,1,81014.0,1829.0,31.1,0.5639412997903563,0.6276013143483024,0.0386089813800657,0.1502772893277424
S002,C3_voucher,gpt-5.6-luna,S3,2,119547.0,1861.0,27.3,0.6154324828873677,0.4662733002547942,0.0923964060614188,0.2071878771623977
S003,C1_name_a,gpt-5.6-luna,S1,1,81014.0,1829.0,31.1,0.5639412997903563,0.6276013143483024,0.0386089813800657,0.1502772893277424
S003,C2_name_b,gpt-5.6-luna,S1,1,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C3_voucher,gpt-5.6-luna,S1,1,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C2_name_b,gpt-5.6-luna,S1,2,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C3_voucher,gpt-5.6-luna,S1,2,81014.0,1829.0,31.1,0.5639412997903563,0.6276013143483024,0.0386089813800657,0.1502772893277424
S003,C0_neutral,gpt-5.6-luna,S2,2,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C1_name_a,gpt-5.6-luna,S2,2,78526.0,1757.0,31.5,0.7215392838054516,0.8182268449727588,0.0386089813800657,0.1502772893277424
S003,C2_name_b,gpt-5.6-luna,S2,2,57706.0,1526.0,32.0,0.909070990359334,0.9087093389296956,0.0788710907704042,0.1502772893277424
S003,C0_neutral,gpt-5.6-luna,S2,1,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C1_name_a,gpt-5.6-luna,S2,1,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C2_name_b,gpt-5.6-luna,S2,1,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C3_voucher,gpt-5.6-luna,S2,1,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C1_name_a,gpt-5.6-luna,S3,1,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C3_voucher,gpt-5.6-luna,S2,2,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C2_name_b,gpt-5.6-luna,S3,1,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C1_name_a,gpt-5.6-luna,S3,2,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C0_neutral,gpt-5.6-luna,S3,1,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C3_voucher,gpt-5.6-luna,S3,1,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S003,C0_neutral,gpt-5.6-luna,S3,2,78526.0,1757.0,31.9,0.909070990359334,0.8182268449727588,0.0259705126470986,0.1227701993704092
S003,C2_name_b,gpt-5.6-luna,S3,2,78526.0,1757.0,31.9,0.7215392838054516,0.8182268449727588,0.0259705126470986,0.1227701993704092
S003,C3_voucher,gpt-5.6-luna,S3,2,78526.0,1757.0,31.1,0.7215392838054516,0.8182268449727588,0.0558309980599267,0.1502772893277424
S004,C0_neutral,gpt-5.6-luna,S1,1,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C0_neutral,gpt-5.6-luna,S1,0,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C0_neutral,gpt-5.6-luna,S1,2,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C1_name_a,gpt-5.6-luna,S1,0,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C2_name_b,gpt-5.6-luna,S1,0,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C1_name_a,gpt-5.6-luna,S1,1,145189.0,2611.0,27.8,0.8887417218543047,0.5026897788404064,0.065451285116557,0.0701463684065175
S004,C2_name_b,gpt-5.6-luna,S1,1,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C3_voucher,gpt-5.6-luna,S1,0,176827.0,3457.0,31.9,0.5714708493637171,0.2739574703120685,0.0259596796465064,0.0701463684065175
S004,C3_voucher,gpt-5.6-luna,S1,1,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C3_voucher,gpt-5.6-luna,S1,2,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C1_name_a,gpt-5.6-luna,S2,0,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C0_neutral,gpt-5.6-luna,S2,1,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C1_name_a,gpt-5.6-luna,S1,2,145189.0,2611.0,27.8,0.8887417218543047,0.3844176924117408,0.0259705126470986,0.0701463684065175
S004,C0_neutral,gpt-5.6-luna,S2,0,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C0_neutral,gpt-5.6-luna,S2,2,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C1_name_a,gpt-5.6-luna,S2,1,161008.0,3034.0,29.45,0.7301062856090108,0.3883236245762375,0.0457054823815317,0.133100679720294
S004,C1_name_a,gpt-5.6-luna,S2,2,161008.0,3034.0,29.45,0.7301062856090108,0.3883236245762375,0.0457054823815317,0.133100679720294
S004,C2_name_b,gpt-5.6-luna,S2,0,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C2_name_b,gpt-5.6-luna,S1,2,131173.0,2611.0,30.9,0.8887417218543047,0.6226504877468475,0.2481560789911967,0.0701463684065175
S004,C2_name_b,gpt-5.6-luna,S2,2,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C2_name_b,gpt-5.6-luna,S2,1,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C3_voucher,gpt-5.6-luna,S2,0,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C3_voucher,gpt-5.6-luna,S2,1,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C0_neutral,gpt-5.6-luna,S3,0,119547.0,1861.0,27.8,0.6154324828873677,0.4662733002547942,0.0923964060614188,0.1502772893277424
S004,C3_voucher,gpt-5.6-luna,S2,2,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C0_neutral,gpt-5.6-luna,S3,1,119547.0,1861.0,27.8,0.6154324828873677,0.4662733002547942,0.0923964060614188,0.1502772893277424
S004,C1_name_a,gpt-5.6-luna,S3,2,119547.0,1861.0,27.8,0.6154324828873677,0.4662733002547942,0.0923964060614188,0.1502772893277424
S004,C0_neutral,gpt-5.6-luna,S3,2,119547.0,1861.0,27.8,0.6154324828873677,0.4662733002547942,0.0923964060614188,0.1502772893277424
S004,C1_name_a,gpt-5.6-luna,S3,0,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C2_name_b,gpt-5.6-luna,S3,0,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C2_name_b,gpt-5.6-luna,S3,1,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C2_name_b,gpt-5.6-luna,S3,2,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S004,C1_name_a,gpt-5.6-luna,S3,1,119547.0,1861.0,27.8,0.6154324828873677,0.4662733002547942,0.0923964060614188,0.1502772893277424
S004,C3_voucher,gpt-5.6-luna,S3,0,119547.0,1861.0,27.8,0.6154324828873677,0.4662733002547942,0.0923964060614188,0.1502772893277424
S004,C3_voucher,gpt-5.6-luna,S3,1,145189.0,3182.0,30.9,0.8706827309236947,0.5026897788404064,0.065451285116557,0.1142041399000713
S005,C0_neutral,gpt-5.6-luna,S1,0,164250.0,3465.0,27.2,0.858281665190434,0.5140318054256314,0.0998596819457436,0.1246492048643592
S005,C0_neutral,gpt-5.6-luna,S1,1,167917.0,3390.0,27.2,0.8478599221789883,0.5140318054256314,0.1114850652082456,0.1246492048643592
